episode,total_reward,avg_queue,avg_wait,epsilon,steps,avg_loss
1,-178.947,1.814,0.174,0.995,360,0.11918
2,-158.832,1.628,0.137,0.99,360,0.043931
3,-156.512,1.592,0.147,0.9851,360,0.032124
4,-162.385,1.653,0.152,0.9801,360,0.030132
5,-169.385,1.703,0.179,0.9752,360,0.030439
6,-173.507,1.767,0.161,0.9704,360,0.02923
7,-154.49,1.581,0.136,0.9655,360,0.028783
8,-149.685,1.531,0.133,0.9607,360,0.028269
9,-154.177,1.583,0.13,0.9559,360,0.028506
10,-158.54,1.608,0.153,0.9511,360,0.028131
11,-162.187,1.647,0.155,0.9464,360,0.115802
12,-154.072,1.572,0.14,0.9416,360,0.099644
13,-174.43,1.747,0.191,0.9369,360,0.092353
14,-168.077,1.708,0.159,0.9322,360,0.089088
15,-191.237,1.939,0.186,0.9276,360,0.083608
16,-141.76,1.453,0.122,0.9229,360,0.083227
17,-132.39,1.358,0.113,0.9183,360,0.082127
18,-134.662,1.378,0.118,0.9137,360,0.081385
19,-138.74,1.425,0.117,0.9092,360,0.078358
20,-146.375,1.5,0.126,0.9046,360,0.080583
21,-150.272,1.544,0.125,0.9001,360,0.048147
22,-125.175,1.289,0.102,0.8956,360,0.043585
23,-139.417,1.422,0.127,0.8911,360,0.043148
24,-151.792,1.547,0.139,0.8867,360,0.04301
25,-145.215,1.483,0.13,0.8822,360,0.041997
26,-142.563,1.453,0.131,0.8778,360,0.044008
27,-140.73,1.439,0.125,0.8734,360,0.042668
28,-134.105,1.369,0.121,0.8691,360,0.041935
29,-150.217,1.528,0.141,0.8647,360,0.042412
30,-146.79,1.5,0.131,0.8604,360,0.042916
31,-171.237,1.742,0.161,0.8561,360,0.06958
32,-139.912,1.444,0.11,0.8518,360,0.067453
33,-161.552,1.653,0.142,0.8475,360,0.067405
34,-126.965,1.314,0.097,0.8433,360,0.06471
35,-128.49,1.328,0.1,0.8391,360,0.067201
36,-154.485,1.586,0.13,0.8349,360,0.065419
37,-141.405,1.458,0.113,0.8307,360,0.06548
38,-141.587,1.456,0.118,0.8266,360,0.067314
39,-174.788,1.761,0.181,0.8224,360,0.06613
40,-148.762,1.514,0.139,0.8183,360,0.065224
41,-134.32,1.386,0.106,0.8142,360,0.086797
42,-158.965,1.619,0.147,0.8102,360,0.087308
43,-156.205,1.614,0.122,0.8061,360,0.084777
44,-158.235,1.597,0.161,0.8021,360,0.085314
45,-149.995,1.547,0.119,0.7981,360,0.084161
46,-122.792,1.272,0.092,0.7941,360,0.083154
47,-145.887,1.497,0.124,0.7901,360,0.08371
48,-144.97,1.478,0.133,0.7862,360,0.083904
49,-125.577,1.297,0.098,0.7822,360,0.085538
50,-123.722,1.281,0.094,0.7783,360,0.083872
